"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"MBC2A",46,47,2.3269923972848,47.2080487804878,2.6998590494995,2.78852208246822,0.89422354249434,9.45389951205814,7.02488746358219
"MBC30A",29,29,0,29,1.85695338177052,1.96084547275681,0.754318250993208,4.07030641894508,4.09134408541167
"MBC31A",28,28,0,28,2.02660870844444,1.77276526311395,0.710691033630228,3.45651229738202,3.9276568603677
"MBC32A",23,26,4.57942723996723,25.0928489042676,2.31874056476118,1.78750968642259,0.738074582025076,3.8178807071551,3.12628904929024
"MBC33A",15,15,0,15,1.54919333848297,1.5237130031327,0.694407399397668,3.27233054082124,1.91107986101534
"MBC34A",21,21,0,21,1.95180014589707,1.62247165122871,0.693991810708488,3.26788639975701,2.81423740822782
"MBC35A",20,20,0,20,1.78885438199983,1.69674664979234,0.675413386010722,3.0808417750494,2.6601657617911
"MBC36A.R",14,14,0.160604018609905,14.3931125174653,1.83040604955631,1.31159198300646,0.680989499898543,3.13469305769548,1.76595020097412
"MBC37P",26,26,0,26,2.42582262018792,2.05142041290547,0.842133868116964,6.33448091792674,3.60361812416098
"MBC38P",27,27,0,27,2.5962936545662,1.99377919903609,0.824513691982784,5.69845027397749,3.76507344444083
"MBC39P",27,27,0,27,2.58198889747161,2.02940230679298,0.825605853384382,5.73413740888964,3.76507344444083
"MBC3A",46,46,0.24726767752342,46.2861936129772,3.16077890021329,2.9669948164355,0.928394427623991,13.965393569496,7.02488746358219
"MBC40P",21,21,0,21,2.28868854108532,1.82047632537207,0.803336774184074,5.08483472622374,2.81423740822782
"MBC41P",24,24,0,24,2.12132034355964,2.05861834085545,0.829666290876372,5.8708285350271,3.28419721195356
"MBC42P",22,22,0.488504210459197,22.26611328125,2.19370016738837,1.92504825601303,0.813132519143278,5.3513858880922,2.96962428514623
"MBC43P",21,21,0.243975018237133,21.4719387755102,2.13270618957108,1.85105606904831,0.803891615537827,5.09922103913354,2.81423740822782
"MBC44P",24,24.5,1.29017084772775,25.0886699507389,2.23182618789085,1.67088500326841,0.751528024744756,4.02459874588571,3.28419721195356
"MBC45P",20,20,0,20,2.13307290077015,1.66395437834877,0.747248487494126,3.95645505771903,2.6601657617911
"MBC46P",25,25.5,1.29051973114346,27.1020142949968,2.09132913518904,1.39218373490826,0.553516325852236,2.23972355071834,3.44331680957018
"MBC47P",21,21,0.243975018237133,21.3157894736842,1.96340673179157,0.940400744334688,0.352701635188389,1.54488262965262,2.81423740822782
"MBC48P",24,25,2.31084400165827,25.0408163265306,2.06543584775675,1.84849506273415,0.748496671953095,3.97609052637865,3.28419721195356
"MBC49P",23,23,0.244504823460913,23.3687930029155,2.2473522934379,1.28949679455126,0.482961948395916,1.93409362598662,3.12628904929024
"MBC4A",44,44,0.164761842204027,44.2779971504173,3.12719779433196,2.84505616979079,0.922963824009996,12.9809143191344,6.66617423201909
"MBC50P",30,30.3333333333333,0.922774449606196,31.2337523971873,2.57649008093285,1.72215800391902,0.638931440631808,2.76955712164424,4.25611230196616
"MBC51P",25,25,0,25,2.33238075793812,1.61074396370535,0.689262309635183,3.21814839656549,3.44331680957018
"MBC52P",35,35,0.164268460101527,35.3218025618464,2.71714814015069,1.97394745459191,0.752793730509633,4.0452048488154,5.09545673511317
"MBC53P",25,25,0.163299316185545,25.42724609375,2.29600712268238,1.84832661506681,0.763471214329959,4.22781521989887,3.44331680957018
"MBC54P",22,22,0,22,1.60963010996598,1.80681725408588,0.719997183241488,3.57139264374776,2.96962428514623
